Ticker,macd,downside_vol,vol_stability,return_6m,skewness,volatility,avg_volume,var_95,return_mean,volume_stability
ECAP,-0.06441625853128366,0.7523134163135357,0.5587508037663701,0.5271635121882557,0.03718814780786298,0.21145083447760027,-0.6474835012310338,0.13857219283090602,-0.13908527223263506,0.1733512201888708
EFID,0.4524947901255502,-1.4249549815361031,0.4635089547461333,1.6725473048468775,1.0547586649362573,-0.825708426951387,-0.27131814363223655,-0.8853867767660758,-0.10578738373195148,3.0297998517879985
EFIH,2.308857550556503,2.5652829725427195,1.4611422176305104,0.3787781638434846,-2.1843792900489607,0.5111757788174753,-0.021825074645952368,0.2665810198987042,-0.2795683346661762,-0.6518536412277565
EGAL,3.458487477686417,0.1951775497060384,0.4559128619920283,0.49829764796440396,0.2344203347176889,0.23306653619574869,-0.7654693246985171,0.1204748612471055,0.8119777588906062,-0.17585111279308874
EGAS,-0.3021476835906551,-0.6494323967244955,0.35351213537884385,0.1421054625259079,0.05449891206554858,-0.6972815782155406,-0.7959035604849743,-0.5108650789116341,-0.11637513605668472,1.159188407166951
EGCH,-0.9165732335434945,-0.8562766089804138,-0.06767471638302894,0.8017458052285009,0.3496335833472105,-0.605012423649189,0.10284327013443653,-0.6087772257241838,-0.5422896190161735,-0.009660559327624694
EGTS,-1.2201726550874676,0.06235392076696744,0.9965722065254428,-0.5547648297926433,1.0790912266349335,0.07956505571195686,0.07551096393834719,-0.5227508803298136,0.2147959369425129,2.499023062090505
EHDR,0.27910015500606195,7.049293012488808,3.6594536300194025,-0.018551160413536456,1.8375395393729543,2.2037024901943103,0.5030152443472813,-0.40323812478233684,2.001701603052189,-0.3000947617321963
ELEC,-0.08307537202537978,1.4603712889683005,2.4322094763935795,-0.40727003005027645,0.48021013000067386,0.6528322696896601,0.26315944266912017,0.1803266360564222,0.48992885506494943,0.1098450998972428
ELKA,0.0029886760910899863,-0.11644485686976183,-0.4378746408960157,-0.5649930903284888,0.2622458278648513,0.23671224652913217,0.2857147205076666,0.6429942598987946,-0.04854904255011921,0.15469346022035266
ELSH,0.3408669755528485,-1.0334906774434325,-0.942321129447301,-0.13991732458543923,-0.5633024571828348,-1.0738267215088142,0.06053994339536802,-0.2545091731304451,-0.7831685169538867,-0.14293075890778986
EMFD,-0.6089972065792967,-0.00640777118522734,0.3989412814237356,-0.5822615387332155,0.19520379968651572,0.15888039436504237,0.6038372401117705,-0.08850426787596499,0.445086078215489,0.09749326703466085
ENGC,5.168372060194686,-0.045579382140438336,0.3453864024334945,1.275166872731986,0.5990281568696778,0.20696174011835727,-0.7796155997027057,0.5625157447100128,0.7468330021103696,-0.189445529227812
ETEL,16.696615201782432,-1.4885921115848086,-0.7244182957927189,1.5813924473356298,-0.5614704281850721,-1.3767742801027887,-0.41420576476929427,-1.0803811488745068,-0.006865919354008552,-0.8140105373922639
ETRS,-0.4640211955230074,-0.35658875377952076,-0.5440490328055095,-0.12017127019644033,-0.20538706869109677,0.058288397501526215,0.3736176673679862,0.28744129991875667,0.3805562286028503,-0.5116216803401065
EXPA,-0.6794026322670376,-1.523789314426305,-0.5889913499866544,-0.03179052008756699,-0.47261507631147137,-1.1664941475326942,-0.47393517356155046,-1.2896958843231243,0.034331103280048986,3.0297998517879985
