Ticker,return_mean,return_total,return_6m,volatility,downside_vol,vol_stability,sharpe,sortino,var_95,skewness,avg_volume,volume_stability,rsi,macd,Cluster
CLHO,0.5272173913043479,1.224074074074074,0.448733413751508,0.4023241460282479,0.2313142613096589,0.3251798960218582,1.310429405018438,2.279225622835962,0.03523,0.4687257309244712,2.718120206315865,1.251355983569476,3.9955740676878606,0.009562894914695974,0
CNFN,0.1983585062240664,0.175,0.02173913043478271,0.4992734924419421,0.3276800680781589,0.485346750523005,0.3972942870527668,0.60534199528045,0.046045,1.315179622564806,2.712959322362892,2.233820178283146,4.093385591765163,-0.03396979058877747,0
COMI,0.2181913043478261,0.4254165564665433,0.326646153846154,0.2977798217365436,0.1986807127725352,0.5498473537213148,0.7327269627452048,1.098200732738603,0.0256,0.4500252578108075,2.7770116895488584,0.9246448967764691,3.948059898988165,0.5094371012222609,0
COSG,0.2406782608695652,0.2705667276051187,-0.1419753086419754,0.515165681680616,0.2670329753599712,0.4674651816852991,0.4671861294882933,0.9013053932575975,0.03878,1.887523039482839,2.8739293026221686,1.270446498376438,4.073419756605936,-0.01437253800405491,0
CSAG,0.3336521739130434,0.514993481095176,0.2676363636363637,0.5096916492680394,0.3071656701729644,0.5021399087808063,0.6546157355966029,1.086228723819184,0.03939,1.225702770643357,2.6795484306754007,1.311578648701946,4.048278442609085,0.5316039355425204,0
DSCW,0.6698086956521739,1.875605815831987,0.03911266783420886,0.4992089588109357,0.2653803038620063,0.3446361627689642,1.341740134727528,2.523957829215781,0.03715,1.059185321350891,2.898187702789627,0.8829564814551005,4.094539353906298,-0.02192191726175041,0
ECAP,0.2957739130434783,0.2799674928890694,0.3054289266473271,0.5258953507448539,0.3463877957699517,0.5601368899229534,0.5624197145393237,0.8538808718304617,0.04031,1.029061867282271,2.655696988264011,1.304605253795744,4.055711941383594,-0.02063777867952865,0
EFID,0.3100695652173913,0.6162464985994398,0.710896960711638,0.3969105429731223,0.2228038710036035,0.5456368250362181,0.7812076819496033,1.39167045806119,0.03298,1.915514623329598,2.7115613079846868,2.233820178283146,4.024905015718782,0.08966009652572993,0
EFIH,0.2354608695652173,0.1424541607898449,0.2529002320185614,0.5653417103300727,0.4587717654813831,0.6975211825303198,0.4164930081450108,0.5132418498295146,0.04123,-0.9062483101299327,2.7486135252938837,1.036162592336569,3.9741380459613156,0.4857686119419551,2
EGAL,0.7040900826446281,1.997453565008987,0.2952103559870551,0.5287065986499347,0.3136227098838302,0.5444803603208305,1.331721761072284,2.245022635336044,0.04018,1.200879950377731,2.638174912848112,1.191008245299568,4.0505092924958275,0.7310753016795672,0
EGAS,0.3055239669421488,0.493458570949346,0.1691176470588236,0.4122710878640527,0.2654655655649469,0.5288903944012847,0.7410754135708298,1.150898672270176,0.035655,1.044142074921163,2.6336551242921376,1.625302295962357,4.041081908882275,-0.071364632210134,0
EGCH,0.1226677685950413,0.07028112449799195,0.4026315789473685,0.4234111386914003,0.253943566079565,0.4647669366690723,0.2897131354979462,0.4830512955646507,0.034955,1.301247541676486,2.767128021993729,1.245070741253671,4.020328146920497,-0.2024700376908584,0
EGTS,0.4477043478260869,0.7990543735224584,-0.07757575757575752,0.5088544869796845,0.305929811244379,0.6267928695591647,0.879827847217079,1.463421776403665,0.03557,1.936711843587466,2.763068901021536,2.061156224483175,4.0591451480216,-0.2672517273004313,0
EHDR,1.214869565217391,0.3374233128834359,0.1122448979591837,0.8080151598713947,0.7786911386118431,1.032202401435643,0.6386046736927169,2.204452446261123,0.036425,2.597431258929205,2.8265575645049874,1.150591256318968,4.142354335321868,0.05266135201182154,2
ELEC,0.5658260869565217,1.169354838709677,-0.0253623188405796,0.58433818159904,0.3892105320979435,0.8453610072113469,0.9683195532561982,1.453778971259014,0.04061,1.414998812677098,2.7909365778268387,1.283946441969593,4.082600486989043,-0.02461923850121428,0
ELKA,0.3346434782608697,0.4333333333333333,-0.08119658119658113,0.5291812546921115,0.2956452103283912,0.4084059673921923,0.6323796908784535,1.131909013134901,0.04394,1.225120024823172,2.794286262286366,1.298535804890393,4.056398680890352,-0.006254992537666038,0
ELSH,0.01925217391304353,-0.0777903043968432,0.06928104575163396,0.367705838689846,0.2441555551161526,0.3316066728475722,0.05235754205492079,0.07885208224684732,0.03749,0.505946719177635,2.7608455546626463,1.201717376845372,4.004360747800265,0.06584108396415189,0
EMFD,0.5465739130434784,1.171497584541063,-0.08730964467005076,0.5190798158325585,0.3019649764774783,0.5358067402322013,1.052966993460961,1.810057310021329,0.03868,1.166716612332999,2.841530639756301,1.279928338050721,4.0670058962803095,-0.1368398246660476,0
ENGC,0.6761217391304348,1.83765243902439,0.5702235343736819,0.5253121665053546,0.2997117053323959,0.527653294784132,1.287085626872765,2.255907016980136,0.04336,1.518506693077729,2.6360740494545896,1.186585923644244,4.091616429304802,1.095928474748611,0
ETEL,0.3525391304347825,0.7672222222222222,0.6786279683377308,0.3328740556243632,0.2193676959846137,0.3647812201657745,1.059076622158294,1.607069486017255,0.03159,0.5075426843976262,2.690341066433786,0.983412262308663,4.012708032545711,3.555811517819087,1
ETRS,0.5188695652173914,1.102649006622516,0.07627118644067776,0.5061232290891552,0.2819593353466119,0.3922414810048039,1.025184254338958,1.840228359807794,0.04138,0.8177433732862938,2.8073407295003086,1.081780647394674,4.062441451454235,-0.1059050129285284,0
EXPA,0.3702260869565217,0.8186157517899759,0.1075581395348837,0.3569557334176055,0.2174713232165236,0.3853992522787701,1.037176468386883,1.702413364119319,0.0301,0.5849486923666738,2.681470651542853,2.233820178283146,4.0615870324159635,-0.1518628520833527,0
FWRY,0.6513913043478262,1.915094339622641,0.3660477453580901,0.4396141352101876,0.2824846439894069,0.4989635307482502,1.481734212291386,2.305935271908986,0.03845,1.027036341014286,2.845321847525418,0.9658817745559545,3.9869405573605357,0.1553040305636877,0
GBCO,0.7375304347826087,2.001172332942556,0.1149825783972125,0.5106489869958613,0.2593520342595366,0.4064749774599911,1.444300201438736,2.843742625301923,0.04047,1.279659461542725,2.751379004329858,1.197232354537534,4.081327364501844,0.2979093495975249,0
GGCC,0.2854785123966942,0.4665012406947888,0.1257142857142857,0.4377997682077501,0.2807437216185179,0.3600830932106966,0.6520755220254604,1.016865170664832,0.04074,0.6228857187381963,2.8559545727650795,1.370823755985961,4.042148049332308,0.007568922974467429,0
HDBK,0.4660173913043478,1.246706277447688,0.4994827586206896,0.3113607260299111,0.2078953133099481,0.4061168269249551,1.496712180904857,2.241596426031833,0.0256,0.5716703338670129,2.5941213680452035,2.205864800680676,3.987039863239809,2.21283431962199,1
HELI,0.0585913043478261,-0.01699716713881005,-0.1170483460559796,0.372616602921645,0.2871079795796802,0.4754760563563277,0.157242870791098,0.2040741063122052,0.03504999999999999,-0.214467353004453,2.881230839486506,0.8289903173167725,3.9918291609852576,0.06830479693350622,0
HRHO,0.262591304347826,0.4454054054054053,-0.1189456342668864,0.3726869180880184,0.2620676095916185,0.3405068291691887,0.7045895404512406,1.001998319277318,0.03318,-0.2754823683860433,2.8242786129139916,0.7591136835181953,3.943373078540811,-0.4279210642400209,0
ICFC,0.5974434782608696,1.130711222830105,-0.2977582846003899,0.6172128763703426,0.4826335809502257,0.5264123575696461,0.9679698871064853,1.237882115630252,0.03953,-1.710651430108409,2.660345938649225,1.230323401741031,4.05228035717763,-0.6007634037319249,2
IEEC,0.2066608695652173,0.08870967741935498,0.1505681818181819,0.4792935080577639,0.2947141601205285,0.4198716889202636,0.4311781113052564,0.7012247714215691,0.04329,1.017029682390483,2.917370640721949,1.342968050864938,4.010320198437653,0.01563659293327468,0
IFAP,0.95150826446281,3.49043815056887,0.08543007606787589,0.5902533518691289,0.37683838062162,0.4732265680062968,1.61203364868613,2.524977054866953,0.04713999999999999,0.6847358246840006,2.735518698656961,1.270494818586448,4.087520158397177,-0.2876451678746186,0
ISMA,0.181304347826087,0.02331189710610948,0.2170172084130018,0.5152066002610535,0.3167894190004336,0.4151503947399315,0.351906104724242,0.5723181929439343,0.04298,1.20052945383636,2.7061330413386107,1.252005302203532,4.014800495417759,-0.05007633287242896,0
ISMQ,0.9558818181818184,2.916720884840598,0.008375209380234505,0.7166300291612486,0.387757246270992,0.6271370538196185,1.333856773069631,2.465155267565989,0.04977,1.546850588615856,2.844234858573501,1.059891648142438,4.120235488286868,-0.1403657536293794,0
ISPH,0.8591950413223141,2.541666666666667,0.1717921527041359,0.5040135175625101,0.2945405922338285,0.3577372445645228,1.704706344935982,2.917068356541567,0.0412,0.588663653788609,2.833482613585116,0.9440604900527003,4.067500897639547,-0.02236786688372838,0
JUFO,0.4324173913043478,0.8152866242038217,0.02564102564102555,0.4951715184339971,0.2535156326267436,0.4831213851048084,0.8732678985089608,1.705683341196576,0.03791,1.810700978386359,2.716666371010509,1.075443702325646,4.080540222875576,-0.4374872763387536,0
KABO,0.7210755186721992,2.155778894472362,0.02113821138211369,0.4981234755888727,0.3154718903803554,0.3598369104107717,1.447583890359226,2.285704497484132,0.041085,0.2674615470019041,2.7485381452328888,1.170159198347119,4.020771321298672,0.05417271375793486,0
KRDI,-0.09281739130434784,-0.3219461697722567,0.08264462809917372,0.466885704837836,0.362760286074211,0.5749571323033319,-0.1988010991610596,-0.2558642576584579,0.03999,-0.07273456966312432,2.922715831470299,1.293098866403668,3.9550113058404115,0.02033575634385543,0
LCSW,0.3447130434782608,0.3069581280788176,0.009512485136741855,0.5471896897994037,0.3437720915894065,0.4587761058251552,0.6299699170220667,1.002737138679594,0.04977,0.6542906313075264,2.689183867361901,0.8864217426130849,4.079874647179149,-0.3521070508228519,0
