ticker,company name,short name,industry,exchange,market cap,sector
FRO,Frontline Ltd.,Frontline,Transportation & Logistics,New York Stock Exchange,864389867,Industrials
FRT,Federal Realty Investment Trust,Federal Realty Investment Trust,REITs,New York Stock Exchange,9921297233,Real Estate
FSB,Franklin Financial Network Inc.,Franklin Financial Network,Banks,New York Stock Exchange,472342382,Financial Services
FSD,First Trust High Income Long Short Fund of Beneficial Interest,First Trust High Income Long Short Fund of Beneficial Interest,Asset Management,New York Stock Exchange,427944874,Financial Services
FSK,FS KKR Capital Corp.,FS KKR Capital,Asset Management,New York Stock Exchange,3385519567,Financial Services
FSM,Fortuna Silver Mines Inc (Canada),Fortuna Silver Mines (Canada),Metals & Mining,New York Stock Exchange,630162004,Basic Materials
FSS,Federal Signal Corporation,Federal Signal,Industrial Products,New York Stock Exchange,1313284756,Industrials
FT,Franklin Universal Trust,Franklin Universal Trust,Asset Management,New York Stock Exchange,167378414,Financial Services
FTAI,Fortress Transportation and Infrastructure Investors LLC,Fortress Transportation and Infrastructure Investors LLC,Consulting & Outsourcing,New York Stock Exchange,1235548068,Industrials
FTCH,Farfetch Limited Class A,Farfetch Limited,Retail - Apparel & Specialty,New York Stock Exchange,5634291455,Consumer Cyclical
FTI,TechnipFMC plc,TechnipFMC plc,Oil & Gas - Services,New York Stock Exchange,10587431098,Energy
FTK,Flotek Industries Inc.,Flotek Industries,Oil & Gas - Services,New York Stock Exchange,151149738,Energy
FTS,Fortis Inc.,Fortis,Utilities - Regulated,New York Stock Exchange,15338884468,Utilities
FTSI,FTS International Inc.,FTS International,Oil & Gas - Services,New York Stock Exchange,957245181,Energy
FTV,Fortive Corporation,Fortive,Computer Hardware,New York Stock Exchange,24813444436,Technology
FUL,H. B. Fuller Company,H. B. Fuller Company,Chemicals,New York Stock Exchange,2493676072,Basic Materials
FUN,Cedar Fair L.P.,Cedar Fair,Travel & Leisure,New York Stock Exchange,3123415001,Consumer Cyclical
